# # Temperature	Energy	Specific Heat	Magnetization	Susceptibility
1.918036	-0.286600	0.000091	0.058504	0.000473
1.922846	-0.286469	0.000082	0.059775	0.000500
1.927655	-0.286871	0.000084	0.060648	0.000527
1.932465	-0.285150	0.000082	0.058622	0.000455
1.937275	-0.282905	0.000088	0.058326	0.000491
1.942084	-0.283809	0.000086	0.058165	0.000459
1.946894	-0.282582	0.000083	0.058316	0.000465
1.951703	-0.280763	0.000087	0.057252	0.000468
1.956513	-0.280697	0.000082	0.058672	0.000478
1.961323	-0.279691	0.000079	0.057481	0.000444
1.966132	-0.279343	0.000083	0.056847	0.000446
1.970942	-0.278675	0.000085	0.057536	0.000457
1.975752	-0.279119	0.000081	0.057824	0.000454
1.980561	-0.276478	0.000082	0.057255	0.000461
1.985371	-0.275680	0.000079	0.055533	0.000433
1.990180	-0.275365	0.000078	0.056673	0.000442
1.994990	-0.275471	0.000077	0.058406	0.000452
1.999800	-0.274162	0.000076	0.054997	0.000411
2.004609	-0.271618	0.000083	0.054539	0.000428
2.009419	-0.270845	0.000075	0.055593	0.000419
2.014228	-0.271202	0.000084	0.056606	0.000437
2.019038	-0.271309	0.000081	0.055448	0.000396
2.023848	-0.269930	0.000077	0.054508	0.000407
2.028657	-0.269261	0.000070	0.054582	0.000397
2.033467	-0.268844	0.000079	0.056632	0.000393
2.038277	-0.268336	0.000073	0.055449	0.000414
2.043086	-0.267778	0.000067	0.056071	0.000424
2.047896	-0.266169	0.000078	0.054793	0.000407
2.052705	-0.265074	0.000073	0.054870	0.000391
2.057515	-0.263861	0.000078	0.055552	0.000393
2.062325	-0.264341	0.000074	0.054958	0.000405
2.067134	-0.263791	0.000075	0.054929	0.000396
2.071944	-0.261513	0.000074	0.054591	0.000401
2.076754	-0.261698	0.000073	0.055171	0.000366
2.081563	-0.260682	0.000070	0.054305	0.000373
2.086373	-0.260484	0.000071	0.053218	0.000394
2.091182	-0.259169	0.000071	0.053936	0.000396
2.095992	-0.257920	0.000070	0.052825	0.000367
2.100802	-0.258217	0.000072	0.052813	0.000363
2.105611	-0.257378	0.000070	0.052862	0.000383
2.110421	-0.256623	0.000066	0.053368	0.000376
2.115230	-0.256128	0.000070	0.052670	0.000348
2.120040	-0.256550	0.000067	0.052647	0.000340
2.124850	-0.255061	0.000065	0.054197	0.000361
2.129659	-0.254562	0.000065	0.053324	0.000370
2.134469	-0.252967	0.000069	0.052992	0.000367
2.139279	-0.252975	0.000067	0.052541	0.000371
2.144088	-0.251754	0.000062	0.051371	0.000343
2.148898	-0.251770	0.000069	0.052381	0.000344
2.153707	-0.250528	0.000065	0.051299	0.000346
2.158517	-0.250250	0.000061	0.051603	0.000332
